"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G29000109501001","290019501001","70","5"
"G29000109501002","290019501002","69","5"
"G29000109501003","290019501003","86","8"
"G29000109502001","290019502001","93","9"
"G29000109502002","290019502002","83","8"
"G29000109502003","290019502003","59","4"
"G29000109503001","290019503001","96","10"
"G29000109503002","290019503002","96","10"
"G29000109503003","290019503003","93","9"
"G29000109503004","290019503004","92","9"
"G29000109504001","290019504001","81","7"
"G29000109504002","290019504002","75","6"
"G29000109504003","290019504003","82","7"
"G29000109505011","290019505011","77","7"
"G29000109505012","290019505012","79","7"
"G29000109505013","290019505013","64","5"
"G29000109505021","290019505021","66","5"
"G29000109505022","290019505022","79","7"
"G29000109505023","290019505023","52","3"
"G29000109509001","290019509001","85","8"
"G29000109509002","290019509002","84","8"
"G29000109509003","290019509003","90","9"
"G29000109510001","290019510001","GQ-PH","GQ-PH"
"G29000300101001","290030101001","47","2"
"G29000300101002","290030101002","65","5"
"G29000300101003","290030101003","38","2"
"G29000300101004","290030101004","47","2"
"G29000300102011","290030102011","80","7"
"G29000300102012","290030102012","82","7"
"G29000300102013","290030102013","80","7"
"G29000300102021","290030102021","73","6"
"G29000300102022","290030102022","70","5"
"G29000300103001","290030103001","78","7"
"G29000300103002","290030103002","81","7"
"G29000300104001","290030104001","78","7"
"G29000300104002","290030104002","54","3"
"G29000300104003","290030104003","58","4"
"G29000509501001","290059501001","87","8"
"G29000509501002","290059501002","89","8"
"G29000509501003","290059501003","88","8"
"G29000509501004","290059501004","88","8"
"G29000509502001","290059502001","84","8"
"G29000509502002","290059502002","79","7"
"G29000509502003","290059502003","80","7"
"G29000709501001","290079501001","97","10"
"G29000709501002","290079501002","GQ","GQ"
"G29000709501003","290079501003","96","10"
"G29000709502001","290079502001","61","4"
"G29000709502002","290079502002","95","10"
"G29000709502003","290079502003","85","8"
"G29000709502004","290079502004","79","7"
"G29000709502005","290079502005","82","7"
"G29000709503001","290079503001","71","6"
"G29000709503002","290079503002","62","4"
"G29000709503003","290079503003","66","5"
"G29000709504001","290079504001","90","9"
"G29000709504002","290079504002","92","9"
"G29000709504003","290079504003","90","9"
"G29000709505001","290079505001","81","7"
"G29000709505002","290079505002","93","9"
"G29000709505003","290079505003","87","8"
"G29000709505004","290079505004","88","8"
"G29000709506001","290079506001","88","8"
"G29000709506002","290079506002","74","6"
"G29000709507001","290079507001","92","9"
"G29000709507002","290079507002","93","9"
"G29000709507003","290079507003","92","9"
"G29000709507004","290079507004","93","9"
"G29000909601011","290099601011","61","4"
"G29000909601012","290099601012","61","4"
"G29000909601021","290099601021","78","7"
"G29000909601022","290099601022","85","8"
"G29000909601023","290099601023","83","8"
"G29000909602011","290099602011","88","8"
"G29000909602012","290099602012","77","7"
"G29000909602021","290099602021","57","4"
"G29000909602022","290099602022","92","9"
"G29000909603011","290099603011","90","9"
"G29000909603012","290099603012","86","8"
"G29000909603013","290099603013","89","8"
"G29000909603014","290099603014","84","8"
"G29000909603021","290099603021","61","4"
"G29000909603022","290099603022","66","5"
"G29000909604011","290099604011","86","8"
"G29000909604012","290099604012","81","7"
"G29000909604013","290099604013","78","7"
"G29000909604021","290099604021","79","7"
"G29000909604022","290099604022","65","5"
"G29000909604023","290099604023","89","8"
"G29000909605001","290099605001","77","7"
"G29000909605002","290099605002","68","5"
"G29000909605003","290099605003","91","9"
"G29000909605004","290099605004","80","7"
"G29000909605005","290099605005","82","7"
"G29000909606001","290099606001","53","3"
"G29000909606002","290099606002","58","4"
"G29001109601001","290119601001","78","7"
"G29001109601002","290119601002","64","5"
"G29001109601003","290119601003","97","10"
"G29001109602001","290119602001","76","6"
"G29001109602002","290119602002","72","6"
"G29001109602003","290119602003","94","9"
"G29001109602004","290119602004","86","8"
"G29001109603001","290119603001","94","9"
"G29001109603002","290119603002","90","9"
"G29001109603003","290119603003","86","8"
"G29001109603004","290119603004","90","9"
"G29001109603005","290119603005","91","9"
"G29001300701001","290130701001","59","4"
"G29001300701002","290130701002","63","4"
"G29001300701003","290130701003","82","7"
"G29001300702001","290130702001","70","5"
"G29001300702002","290130702002","82","7"
"G29001300702003","290130702003","70","5"
"G29001300702004","290130702004","69","5"
"G29001300703001","290130703001","92","9"
"G29001300703002","290130703002","89","8"
"G29001300703003","290130703003","88","8"
"G29001300703004","290130703004","98","10"
"G29001300704001","290130704001","55","3"
"G29001300704002","290130704002","92","9"
"G29001300704003","290130704003","92","9"
"G29001504601001","290154601001","76","6"
"G29001504601002","290154601002","76","6"
"G29001504601003","290154601003","77","7"
"G29001504602001","290154602001","77","7"
"G29001504602002","290154602002","77","7"
"G29001504603001","290154603001","83","8"
"G29001504603002","290154603002","91","9"
"G29001504603003","290154603003","71","6"
"G29001504603004","290154603004","74","6"
"G29001504604001","290154604001","90","9"
"G29001504604002","290154604002","90","9"
"G29001504604003","290154604003","90","9"
"G29001504607011","290154607011","82","7"
"G29001504607012","290154607012","73","6"
"G29001504607021","290154607021","73","6"
"G29001504608011","290154608011","77","7"
"G29001504608012","290154608012","87","8"
"G29001504608021","290154608021","93","9"
"G29001504608022","290154608022","72","6"
"G29001709501001","290179501001","71","6"
"G29001709501002","290179501002","91","9"
"G29001709501003","290179501003","89","8"
"G29001709501004","290179501004","62","4"
"G29001709502001","290179502001","91","9"
"G29001709502002","290179502002","93","9"
"G29001709502003","290179502003","69","5"
"G29001709502004","290179502004","89","8"
"G29001709503001","290179503001","78","7"
"G29001709503002","290179503002","80","7"
"G29001709503003","290179503003","90","9"
"G29001900002001","290190002001","90","9"
"G29001900002002","290190002002","90","9"
"G29001900003001","290190003001","74","6"
"G29001900003002","290190003002","GQ","GQ"
"G29001900003003","290190003003","65","5"
"G29001900005001","290190005001","GQ","GQ"
"G29001900005002","290190005002","66","5"
"G29001900005003","290190005003","70","5"
"G29001900006001","290190006001","31","1"
"G29001900006002","290190006002","34","1"
"G29001900006003","290190006003","42","2"
"G29001900006004","290190006004","54","3"
"G29001900007001","290190007001","79","7"
"G29001900007002","290190007002","76","6"
"G29001900007003","290190007003","80","7"
"G29001900009001","290190009001","89","8"
"G29001900009002","290190009002","92","9"
"G29001900010011","290190010011","58","4"
"G29001900010012","290190010012","58","4"
"G29001900010013","290190010013","49","3"
"G29001900010014","290190010014","38","2"
"G29001900010015","290190010015","61","4"
"G29001900010031","290190010031","58","4"
"G29001900010032","290190010032","57","4"
"G29001900010041","290190010041","76","6"
"G29001900010042","290190010042","74","6"
"G29001900010043","290190010043","70","5"
"G29001900011051","290190011051","73","6"
"G29001900011052","290190011052","QDI","QDI"
"G29001900011053","290190011053","73","6"
"G29001900011054","290190011054","73","6"
"G29001900011061","290190011061","67","5"
"G29001900011062","290190011062","67","5"
"G29001900011063","290190011063","67","5"
"G29001900011064","290190011064","61","4"
"G29001900011071","290190011071","19","1"
"G29001900011072","290190011072","77","7"
"G29001900011073","290190011073","37","2"
"G29001900011081","290190011081","39","2"
"G29001900011082","290190011082","52","3"
"G29001900011083","290190011083","48","3"
"G29001900011091","290190011091","36","2"
"G29001900011092","290190011092","36","2"
"G29001900011093","290190011093","36","2"
"G29001900011094","290190011094","36","2"
"G29001900011101","290190011101","22","1"
"G29001900011102","290190011102","31","1"
"G29001900011103","290190011103","25","1"
"G29001900012011","290190012011","61","4"
"G29001900012012","290190012012","35","2"
"G29001900012013","290190012013","32","1"
"G29001900012014","290190012014","38","2"
"G29001900012021","290190012021","38","2"
"G29001900012022","290190012022","29","1"
"G29001900012023","290190012023","63","4"
"G29001900012024","290190012024","30","1"
"G29001900013001","290190013001","88","8"
"G29001900013002","290190013002","82","7"
"G29001900013003","290190013003","79","7"
"G29001900014011","290190014011","54","3"
"G29001900014012","290190014012","62","4"
"G29001900014013","290190014013","39","2"
"G29001900014021","290190014021","60","4"
"G29001900014022","290190014022","67","5"
"G29001900014023","290190014023","67","5"
"G29001900014024","290190014024","64","5"
"G29001900015031","290190015031","69","5"
"G29001900015032","290190015032","82","7"
"G29001900015033","290190015033","77","7"
"G29001900015051","290190015051","93","9"
"G29001900015052","290190015052","69","5"
"G29001900015061","290190015061","83","8"
"G29001900015062","290190015062","66","5"
"G29001900015071","290190015071","81","7"
"G29001900015072","290190015072","70","5"
"G29001900015073","290190015073","57","4"
"G29001900015081","290190015081","59","4"
"G29001900015082","290190015082","65","5"
"G29001900015083","290190015083","54","3"
"G29001900015084","290190015084","60","4"
"G29001900016021","290190016021","25","1"
"G29001900016022","290190016022","14","1"
"G29001900016023","290190016023","59","4"
"G29001900016031","290190016031","62","4"
"G29001900016032","290190016032","54","3"
"G29001900016033","290190016033","55","3"
"G29001900016041","290190016041","88","8"
"G29001900016042","290190016042","61","4"
"G29001900017021","290190017021","32","1"
"G29001900017022","290190017022","35","2"
"G29001900017023","290190017023","29","1"
"G29001900017031","290190017031","33","1"
"G29001900017032","290190017032","49","3"
"G29001900017041","290190017041","39","2"
"G29001900017042","290190017042","36","2"
"G29001900018031","290190018031","55","3"
"G29001900018032","290190018032","35","2"
"G29001900018033","290190018033","53","3"
"G29001900018061","290190018061","52","3"
"G29001900018062","290190018062","27","1"
"G29001900018063","290190018063","15","1"
"G29001900018071","290190018071","47","2"
"G29001900018072","290190018072","43","2"
"G29001900019011","290190019011","51","3"
"G29001900019012","290190019012","47","2"
"G29001900019013","290190019013","47","2"
"G29001900019031","290190019031","53","3"
"G29001900019032","290190019032","60","4"
"G29001900019033","290190019033","57","4"
"G29001900019041","290190019041","76","6"
"G29001900019042","290190019042","73","6"
"G29001900019043","290190019043","46","2"
"G29001900020001","290190020001","80","7"
"G29001900020002","290190020002","70","5"
"G29001900020003","290190020003","71","6"
"G29001900020004","290190020004","65","5"
"G29001900021001","290190021001","95","10"
"G29001900021002","290190021002","95","10"
"G29001900021003","290190021003","94","9"
"G29001900022001","290190022001","GQ-PH","GQ-PH"
"G29001900022002","290190022002","GQ","GQ"
"G29001900022003","290190022003","GQ-PH","GQ-PH"
"G29001900022004","290190022004","GQ","GQ"
"G29002100001001","290210001001","21","1"
"G29002100001002","290210001002","58","4"
"G29002100001003","290210001003","56","3"
"G29002100002001","290210002001","60","4"
"G29002100002002","290210002002","51","3"
"G29002100002003","290210002003","72","6"
"G29002100003001","290210003001","93","9"
"G29002100003002","290210003002","83","8"
"G29002100004001","290210004001","91","9"
"G29002100004002","290210004002","93","9"
"G29002100005001","290210005001","75","6"
"G29002100005002","290210005002","66","5"
"G29002100005003","290210005003","88","8"
"G29002100006001","290210006001","58","4"
"G29002100006002","290210006002","66","5"
"G29002100006003","290210006003","GQ","GQ"
"G29002100007011","290210007011","51","3"
"G29002100007012","290210007012","49","3"
"G29002100007013","290210007013","GQ","GQ"
"G29002100007014","290210007014","71","6"
"G29002100007021","290210007021","63","4"
"G29002100007022","290210007022","82","7"
"G29002100007023","290210007023","74","6"
"G29002100009001","290210009001","83","8"
"G29002100009002","290210009002","87","8"
"G29002100009003","290210009003","85","8"
"G29002100009004","290210009004","79","7"
"G29002100009005","290210009005","80","7"
"G29002100010001","290210010001","98","10"
"G29002100010002","290210010002","98","10"
"G29002100010003","290210010003","99","10"
"G29002100011001","290210011001","60","4"
